1	53	110.13.166.14	Windows XP	Internet Explorer 8.0	22시 32분 12초	http://cr2.shopping.naver.com/adcrNoti.nhn?x=6zUOhAVgmY8zX2dFXxRi4f%2F%2F%2Fw%3D%3DsW4kFnvMbOeSmunywC0%2Fjn68QD5Vxk1I%2BiQX6z%2BunmEGyGr%2BcSMz66VdkpNFeD0Rl%2FIqC%2BTT4BxN4ca%2F2YOS%2Byd0t8Jv1fPw1ppB4i1ho73dwvTiF1v3jCddA24sQp8Z1v6QmecXnhNGGK2XcJKR1hrZSvWz
1	52	175.223.49.76	Android	Chrome/47.0.2526.100	22시 21분 03초	http://m.shopping.naver.com/search/all_search.nhn?query=%EC%A7%80%EA%B7%B8&pagingIndex=1&productSet=total&viewType=lst&sort=rel&frm=MOSCPRO&selectedFilterTab=category
1	51	146.148.36.249	Linux	Chrome/50.0.2642.0	22시 19분 15초	Direct Contact (Typing or Bookmark)
1	50	183.108.225.164	Windows 7	Gecko	21시 38분 21초	Direct Contact (Typing or Bookmark)
1	49	220.79.121.203	Windows 7	Internet Explorer 7.0	21시 23분 27초	http://cr2.shopping.naver.com/adcrNoti.nhn?x=KYVZDxKNMeaTQuJcpr7pxv%2F%2F%2Fw%3D%3DsimUfArhMKw0Tkqsz9%2B4rX0Bh%2FeAGelKw31ay1qqLAlXZy8BwbRKaTC8Jvowu5gEu9X5bPJha9fN9YyiQDqd0g0Lz1VyrwRyYIhMjHNXVgNjtSmwpTKuemlFAGx5UWWXgnuYHuuZ2XljoFb84jC%2B30UQUuG8SSoE%2Fe8r
1	48	223.62.188.40	Android	Chrome/33.0.1750.63	21시 22분 08초	http://m.search.naver.com/search.naver?query=%ED%8A%B8%EB%A6%AC%EB%A8%B8%EB%B9%84%ED%8A%B8%EC%84%B8%ED%8A%B8&where=m&sm=mob_hty.idx&acq=&acr=&qdt=1&url=http%3A%2F%2Fm.shopping.naver.com%2Fbridge%2FsearchGate.nhn%3Fcat_id%3D50003412%26nv_mid%3D8760373206%2
1	47	1.243.59.64	Android	Chrome/47.0.2526.100	21시 13분 08초	http://m.search.naver.com/search.naver?sm=mtb_hty.top&where=m&query=%EB%8F%84%EB%B8%8C%ED%85%8C%EC%9D%BC%EC%A7%80%EA%B7%B8&url=http%3A%2F%2Fm.shopping.naver.com%2Fbridge%2FsearchGate.nhn%3Fcat_id%3D50003404%26nv_mid%3D8266011191%26query%3D%25EB%258F%2584%
1	46	112.147.75.133	Android	Chrome/30.0.0.0	20시 47분 59초	http://m.search.naver.com/search.naver?sm=mtb_hty.top&where=m&query=%EB%AA%A9%EC%8B%AC%EC%A0%9C%EC%A1%B0%EB%B9%84%ED%8A%B8&url=http%3A%2F%2Fm.shopping.naver.com%2Fbridge%2FsearchGate.nhn%3Fcat_id%3D50003404%26nv_mid%3D8189139479%26query%3D%25EB%25AA%25A9%
1	45	223.62.67.164	Android	Chrome/47.0.2526.100	20시 44분 55초	http://m.search.naver.com/search.naver?query=butcher+block&where=m&sm=mob_sug.idx&acq=BUTCHER+BLO&acr=1&qdt=0&url=http%3A%2F%2Fm.shopping.naver.com%2Fbridge%2FsearchGate.nhn%3Fcat_id%3D50000216%26nv_mid%3D8530741515%26query%3Dbutcher%2520block%26frm%3DMOS
1	44	119.200.223.33	Android	Chrome/28.0.1500.94	20시 18분 53초	http://m.shopping.naver.com/search/all.nhn?query=%EB%8F%84%EB%B8%8C%ED%85%8C%EC%9D%BC+%EA%B3%B5%EA%B5%AC&frm=NVSHSRC&cat_id=&pb=true
1	43	222.110.102.178	Windows 7	Gecko	19시 25분 43초	http://cr2.shopping.naver.com/adcrNoti.nhn?x=g3IsdRAGb7O6Aqe8qZzY3f%2F%2F%2Fw%3D%3Ds25yKXIgAKkkTt74l9nrv%2BruOL3GvH8P6ZXg1ZQBZZfWYUNWXDLi7n66scPyUUWptvO1cAbCVY2Bxy24UOCXR%2BcbjHf%2F2AH%2F6ZSxlzxYW9pdq2mv8A7hPdAkiCESc6kxDTLf3dnwPq1DOmiObNM3z3gKtVTjmsiF%2F3
1	42	27.117.19.131	Windows 7	Internet Explorer 10.0	18시 52분 03초	http://www.google.co.kr/url?sa=i&rct=j&q=&esrc=s&frm=1&source=images&cd=&ved=0ahUKEwjGjZHY7uLKAhXC26YKHalNAhkQjRwIBw&url=http%3A%2F%2Fwww.francosmith.com%2Fshop%2Fgoods%2Fgoods_view.php%3F%26goodsno%3D258&psig=AFQjCNHscIaQoKJNpaWAXa3s7BqODwoYKw&ust=145483
1	41	66.249.71.91	Search Robot	www.google.com	18시 05분 32초	Direct Contact (Typing or Bookmark)
1	40	66.249.74.107	Search Robot	www.google.com	18시 04분 34초	Direct Contact (Typing or Bookmark)
1	39	66.102.7.171	unknown	unknown	18시 01분 14초	Direct Contact (Typing or Bookmark)
1	38	130.193.37.14	Search Robot	yandex.com	17시 38분 37초	Direct Contact (Typing or Bookmark)
1	37	182.230.66.229	Android	Chrome/30.0.0.0	17시 11분 18초	http://m.shopping.naver.com/search/all_search.nhn?query=%EB%8F%84%EB%B8%8C%ED%85%8C%EC%9D%BC%EC%A7%80%EA%B7%B8&frm=MOSCPRO
1	36	219.248.221.242	Windows 7	Gecko	16시 47분 25초	http://cr2.shopping.naver.com/adcrNoti.nhn?x=rbBZUpBqUQbmAsToME3BRf%2F%2F%2Fw%3D%3DsZeiKGw2COQsItnIS66rWuJ9feE5kBpD3Wim1NTKe4phjWzf%2F8wVIzpFBhEEVvXkgEY1zyNL5IY22U4uhHpoffUBz7PfaTmZfa%2BZj9xIxilY13CWuzuXPwG6hvuOlvHGMeQSy6xos%2FS3Hbt7jZUhZGt0C3D2DEsgqK8FZa
1	35	104.197.61.111	Windows NT	Chrome/50.0.2640.0	16시 34분 49초	Direct Contact (Typing or Bookmark)
1	34	175.158.0.1	Windows 7	Internet Explorer 9.0	16시 30분 06초	http://searchad.nhncorp.com/External/getOpDeadLinkCheckUrlList/?count=1
1	33	104.154.48.237	Linux	Chrome/50.0.2642.0	16시 09분 53초	Direct Contact (Typing or Bookmark)
1	32	110.47.167.173	Android	Chrome/47.0.2526.100	16시 08분 22초	http://m.shopping.naver.com/search/all.nhn?query=%EC%B2%A0%ED%8C%90%EC%A0%88%EB%8B%A8&frm=NVSHSRC&cat_id=&pb=true
1	31	14.42.201.25	Windows NT	Gecko	16시 07분 55초	http://cr2.shopping.naver.com/adcrNoti.nhn?x=YQAEju0ilEy0ybimuCTq4v%2F%2F%2Fw%3D%3DsnPdAu5r3uGPExIqwEQHuFfg5nWlNS7Lvs4kdHjbAn6U2iKDaD1IeUCq6ALu9DGXhpHvdJkxC9t0xvKsm20cCnJW5IQpb9zlg5iQVySw%2FZhL%2Bq4UAhlsdFrcdZ0nZuJjubGF8Bf%2BQ1b3iRIFQi4fno%2FqjPpDOQcE4dxE
1	30	221.153.90.75	Windows 7	Gecko	15시 52분 30초	http://cr2.shopping.naver.com/adcrNoti.nhn?x=Byl2psrKYf3u5QQe9hUohv%2F%2F%2Fw%3D%3Ds13CHgoQ%2Bu4BDwVHyp4jk%2F5hBExLyA%2BL%2B9kC1NyjsuLtu8rWrB%2BgtxZ5EQ5GRNy4n3xviXoIBWHG50ckIJnrrUqkNpPT0lkwTPkR7HkJ49fF4m1eBtGRXTW0g%2BxBvp3gxytT%2FpZocOTzXbnkUEx9ZWn64aIFmF
1	29	175.197.27.234	Mac OS	Gecko	15시 52분 05초	Direct Contact (Typing or Bookmark)
1	28	211.36.138.171	Android	Chrome/30.0.0.0	15시 43분 51초	http://m.search.naver.com/search.naver?sm=mtb_hty.top&where=m&query=%EB%8F%84%EB%A7%88+%EC%98%A4%EC%9D%BC&url=http%3A%2F%2Fm.shopping.naver.com%2Fbridge%2FsearchGate.nhn%3Fcat_id%3D50000216%26nv_mid%3D8530741515%26query%3D%25EB%258F%2584%25EB%25A7%2588%25
1	27	1.235.66.172	Android	Chrome/33.0.1750.63	08시 25분 05초	http://m.search.naver.com/search.naver?query=%EB%A7%88%EC%9D%B4%ED%81%AC%EB%A1%9C%EC%A7%80%EA%B7%B8+gr-200&where=m&sm=mob_sly.hst&acq=&acr=1&qdt=0&url=http%3A%2F%2Fm.shopping.naver.com%2Fbridge%2FsearchGate.nhn%3Fcat_id%3D50003404%26nv_mid%3D7624739963%26
1	26	211.204.18.232	Android	Chrome/33.0.0.0	06시 42분 02초	Direct Contact (Typing or Bookmark)
2	25	66.249.79.194	Search Robot	www.google.com	04시 08분 22초	Direct Contact (Typing or Bookmark)
2	24	39.117.52.178	Android	Chrome/47.0.2526.100	04시 07분 25초	http://m.search.naver.com/search.naver?sm=mtb_sug.psn&where=m&query=butcher+block&qdt=0&acq=bu&acr=1&url=http%3A%2F%2Fm.shopping.naver.com%2Fbridge%2FsearchGate.nhn%3Fcat_id%3D50000216%26nv_mid%3D8530741515%26query%3Dbutcher%2520block%26frm%3DMOSCPRO%26h%
2	23	121.170.246.239	Mac OS	Gecko	03시 55분 52초	Direct Contact (Typing or Bookmark)
2	22	104.197.199.51	Linux	Chrome/50.0.2642.0	03시 28분 37초	Direct Contact (Typing or Bookmark)
2	21	218.146.32.4	Windows 7	Gecko	03시 23분 40초	http://cr2.shopping.naver.com/adcrNoti.nhn?x=3bUNUhDQHQXCwcMhmARiHv%2F%2F%2Fw%3D%3DsSUAjYjV27yxhNW34VWf4XknyNEccWaLDHtXABaT1hgABNVGxRN1fP61shAwOhDu1IzSLEWqkAweNdtOJU204qG%2BojSX9VguVe9afg6%2B0bzZ5X0To5MJm3g9hIZN2CMgctFLjrgJmmWfpixMJ%2BLi1BX2n14Q1p2XDUF2wI
